name,type,area,direction,fitment,elevator,total_price,unit_price,property
湖左岸,4室2厅,175.08,南 北,精装,有,910,51977,
万科北宸之光,3室2厅,83.32,南,精装,有,221.5,26585,
永林二区,3室2厅,137.83,南,精装,无,295,21404,
星湖名轩,3室1厅,138.4,东,精装,有,408,29480,
中联二期澄湖花园,2室2厅,77,南,简装,暂无数据,130,16884,
万科北宸之光,3室2厅,83.32,南 北,精装,有,227,27245,
鼎尚花园(姑苏区),3室1厅,78.45,南,简装,无,228,29064,
水语金成花园,4室2厅,128,南,毛坯,有,318,24844,
阳光水世界,3室2厅,127.34,南,精装,无,218,17120,
东湖林语,3室2厅,135,南,精装,有,525,38889,
晨曦馨苑,3室2厅,116.84,南 北,精装,无,278,23794,
花桥裕花园,3室2厅,88.62,南,精装,有,178,20086,
新城湾语城,3室1厅,92.48,南 北,毛坯,有,257,27790,
九龙仓风华里,3室2厅,130.36,南,毛坯,有,580,44493,
三元二村,2室1厅,58,西北,简装,无,138,23794,
星光耀花园一期,3室2厅,87,南,精装,有,230,26437,
劳动路95号,2室1厅,57.54,南,简装,无,151,26243,
合景峰汇十期,2室2厅,48,南,精装,商电,75,15625,
和泰家园,3室2厅,92.94,南,毛坯,有,192,20659,
新浒花园二区,6室2厅,160.9,南 西北,精装,无,250,15538,
中海国际社区（四区）,3室2厅,126.76,南,精装,有,588,46387,
香城花园三区,3室2厅,127.71,南,精装,有,296,23178,
合景峰汇十期,2室2厅,47.48,北,精装,商电,56.5,11900,
蚬江花园,5室2厅,198.9,南,精装,暂无数据,134,6738,
白塘景苑一二期,5室2厅,197.68,南 北,精装,有,830,41988,
康桥溪岸花园,4室2厅,121.3,南,毛坯,有,250,20611,
花好月圆,3室2厅,146,南 北,简装,有,261,17877,
花南家园,2室1厅,77.67,南,简装,有,173,22274,
康桥丽都,2室2厅,86.56,南,精装,有,219,25301,
徐家浜新村,2室1厅,53.4,南,精装,无,150,28090,
金湖湾花园,4室2厅,165.76,南,精装,有,843,50857,
侍其巷散盘,2室1厅,57.79,南,简装,无,248,42914,
打线里,3室2厅,97.79,南,精装,无,253,25872,
永林新村,2室1厅,51.09,南,精装,无,145,28382,
绿地都会雅苑,3室2厅,94,南,毛坯,有,238,25320,
锦华星光苑,3室2厅,90,南,毛坯,暂无数据,230,25556,
白塘壹号,3室2厅,129.58,南,精装,有,575,44375,
新城金郡南区二期,3室2厅,80.24,南,精装,无,195,24303,
中海国际社区（七区）,2室1厅,96.01,南,精装,有,399,41559,
中南世纪城,2室2厅,97.14,南,简装,有,230.9,23770,
春馨园B区,1室1厅,47.39,南,精装,无,105,22157,
海胥澜庭,3室2厅,141.72,南,精装,有,615,43396,
和泰家园,2室1厅,61.43,南,简装,有,145,23605,
龙景花苑二区,2室1厅,60,南,简装,无,120,20000,
永林二区,2室1厅,68.88,南,简装,无,203,29472,
中吴红玺御园,4室2厅,159,南 北,毛坯,有,323,20315,
虎阜花园东区,3室2厅,78.06,南 北,毛坯,无,205,26262,
山湖湾南区,3室2厅,100.63,南,毛坯,有,305,30310,
金辉优步花园,3室2厅,87.85,南 北,精装,有,303,34491,
水香一村,2室1厅,77.24,南,简装,无,154.5,20003,
和美家园,2室1厅,80.34,南,精装,有,165,20538,
希悦庭公馆,2室1厅,56.63,南,精装,有,107.5,18983,
新城招商香溪源,3室2厅,88.03,南,毛坯,有,202,22947,
劳动路95号,3室1厅,65.88,南,精装,无,141,21403,
姑香苑,3室2厅,70.97,南,精装,无,200,28181,
新湘苑,3室2厅,113.1,东南 南,精装,无,351,31035,
西湖君庭,3室2厅,82.22,南 北,精装,有,230,27974,
欧之韵,2室1厅,57.5,南,简装,有,105.5,18348,
澳韵花园,3室2厅,120.02,南,精装,有,580,48326,
阳光天地,2室1厅,78.48,南 北,简装,有,230,29307,
越湖家天下,3室2厅,89.29,南,精装,有,238,26655,
彩香一村一区,2室1厅,47.22,南 北,简装,无,110,23296,
越湖名邸,3室2厅,125.45,南 北,精装,有,335,26704,
象屿都城,2室1厅,69.37,南 北,毛坯,有,140,20182,
北极星花园,2室2厅,89.67,南 西南,精装,有,339,37806,
嘉元花园南区,2室1厅,73.14,南,简装,无,171,23380,
锦和加州南区,3室2厅,96,南,毛坯,有,199,20730,
万达广场(姑苏区),1室1厅,51.61,东南,精装,有,147,28483,
东湖大郡三期,3室2厅,115.31,南 北,简装,有,516,44749,
金辉浅湾雅苑,3室2厅,89,南 北,简装,有,195,21911,
普罗旺斯,1室2厅,66.14,南 北,精装,有,106,16027,
万业湖墅金典,3室2厅,107.7,南,精装,有,289,26834,
梅林新苑,2室1厅,53.79,南,精装,无,144,26771,
五十六间,2室1厅,50.14,南,简装,无,96,19147,
世茂运河城苏和苑,2室1厅,89.19,南,精装,有,315,35318,
现代花园,2室2厅,69.5,南,简装,无,168.8,24288,
首开国风华府,2室2厅,88.77,南,精装,有,220,24783,
九龙仓繁华里,3室2厅,97.63,南,精装,有,468,47937,
派克公寓,1室1厅,53,北,精装,有,73,13774,
香城花园三区,3室2厅,112.76,南,精装,有,280,24832,
万科金域平江,3室2厅,103.89,南,精装,有,420,40428,
巴比伦花园,3室2厅,136.95,南 北,精装,有,293,21395,
新苑村,3室2厅,122.83,南,简装,无,225.7,18375,
运河邨,4室2厅,99.75,南,精装,暂无数据,135,13534,
御湖湾,3室2厅,95.6,南,精装,有,294,30754,
合景峰汇十一期,2室1厅,45,南,精装,2.75元/m3,85,18889,
湖左岸,2室2厅,102.94,东南 南,精装,有,598,58093,
金枫美地,3室2厅,83.21,南,精装,无,200,24036,
齐门人家,3室2厅,109.4,南,精装,有,283.9,25951,
绿地21城A区,5室2厅,198.47,南 北,毛坯,联排,488,24589,
徐家浜新村,3室2厅,128,南,精装,无,260,20313,
棕榈湾,4室2厅,121.19,南,毛坯,有,235,19392,
水韵花都家园,3室1厅,88.69,南,精装,有,242,27287,
绿地21城D区,4室2厅,86.99,南,精装,无,200,22992,
东湖大郡三期,2室2厅,89.44,南,精装,有,382,42711,
常发香城湾二期,3室2厅,89,南,精装,有,169,18989,
金城花园(昆山),3室2厅,147.03,南 北,精装,有,228,15508,
欧风丽苑,3室2厅,99.3,南,精装,有,238,23968,
新城金郡南区二期,3室1厅,86.92,南,精装,有,228.8,26324,
恒基水漾花城,3室2厅,115.75,南,精装,有,295,25486,
中南世纪城(昆山),3室2厅,117,南 北,精装,有,225.6,19283,
万科北宸之光,3室1厅,83.13,南,精装,有,243,29232,
相门新村,2室1厅,60.47,南 北,简装,无,178,29437,
